username,location,text,tweet_date,hashtags_extracted
Center for Urban Community Services | CUCS,"New York, NY","The CDC signed off on expanded usage of Pfizer #COVID19 vaccine for 12- to 15-year-olds, clearing the way to start giving out the shots across the U.S. as early as tomorrow. 
https://t.co/SopmXiNzVM",2021-05-12 23:29:44,covid19
Miles Kelly,"Vancouver, Canada",Does the Oxford-AstraZeneca vaccine contain aborted fetal cells? https://t.co/ZJVzOTa6NX,2021-05-12 23:29:21,
Fight Against Conspiracy Theories,New Zealand,"Researcher @Knhannah explains what to look for to identify misinformation about Covid-19  and the vaccine after the Pharmacy Council issued a warning to an Auckland chemist who unwittingly helped distribute Covid19 misinformation, including the 'Real News' https://t.co/4ycGqZfmFH",2021-05-12 23:27:31,
Steven D Rowe,"Vancouver, Canada","Our area - high number of #COVID19 cases, low rate of vaccinations. I haven't seen any awareness campaigns in our area to share this data or to assure people the vaccine is safe, hopefully, I'm wrong.
https://t.co/wZ7KxoE9tJ",2021-05-12 23:26:10,covid19
KAKE News,"Wichita, Kansas",BREAKING: @GovLauraKelly announced that Pfizer's COVID-19 vaccine will now be available to those ages 12 and older. https://t.co/bSqHuWPImk #KAKEnews,2021-05-12 23:23:13,kakenews
Dr. Jonathan Golding,"Lexington, KY",The plan is to encourage students to get a Covid-19 vaccine—not require a vaccine—at West Virginia University and Marshall University! #bbn #WVU #COVID19 #COVID19Vaccination #marshallu #college https://t.co/NcbBuU6WZc,2021-05-12 23:21:17,"bbn,wvu,covid19,covid19vaccination,marshallu,college"
🏳️‍🌈♿ Ad'm #BLM Martin,"Adelaide, South Australia","I successfully booked both my Pfizer shots yesterday. I am disabled &amp; &lt;50, 1b. See if you can too. 
https://t.co/WYIISllrXo #disability #covid19 #vaccine #Adelaide #SouthAustralia",2021-05-12 23:21:17,"disability,covid19,vaccine,adelaide,southaustralia"
Lisa Renee 🇨🇦🎧🎮,"Toronto, ON, Canada","I got #MyCOVIDvax! When it's your turn to get the #COVID19 vaccine, add the pink bandage to your profile. https://t.co/Hv9pSKkaHB",2021-05-12 23:20:51,"mycovidvax,covid19"
UC San Francisco,"San Francisco, CA",Use of the J&amp;J #COVID19 vaccine has resumed after a pause recommended by FDA and CDC in order to study reports of severe blood clots. Infectious disease expert @MonicaGandhi9 answers some of the biggest questions around the vaccine in our updated story. https://t.co/9VzE92zls0,2021-05-12 23:15:50,covid19
SA Metro Health,"San Antonio, Texas","We are addressing your questions pertaining to COVID-19 vaccinations. Today's question is: If I’ve already had COVID-19, can I still get the new strain? For more information about COVID vaccine, visit our FAQ’s page https://t.co/YINlzNy6IB https://t.co/t7drUJfy1c",2021-05-12 23:15:06,
Mike Ballard ⚓️⚓️⚓️⚓,Western Australia,Moderna announces 25 million doses of their COVID-19 vaccine for Australians under the age of 50. Over 50s can risk blood clots and the less effective Astra-Zenica vax against new strains of #COVID19  . https://t.co/bzoyXudZqS,2021-05-12 23:13:58,covid19
Rolando Garcia,"Maryland, USA",Combating COVID-19 Vaccine Misinformation #COVID19vaccine #COVIDvaccine #COVID19 #COVID Please click on the link: https://t.co/k3R31TsPhW https://t.co/4M6KKQ0prC,2021-05-12 23:08:08,"covid19vaccine,covidvaccine,covid19,covid"
ABS-CBN News,"Manila, Philippines",• Pfizer vaccine effective against #COVID19 variants in Japan: study https://t.co/JMU13zqjv5,2021-05-12 23:05:10,covid19
ABS-CBN News,"Manila, Philippines",• Manila Mayor Isko Moreno is criticizing the slow deployment of #COVID19 vaccines in the Philippines. https://t.co/NCFSF3AKus,2021-05-12 23:05:07,covid19
Ensheng Dong,"Baltimore, MD","The @JohnsHopkins #COVID19 dashboard got a new look! We will also add the historic vaccine data in GitHub! Cheers! Desktop version: https://t.co/bEV6Gfw69e
Mobile version: https://t.co/4R2riPYMC5
GitHub:
https://t.co/3cy30PX9mp https://t.co/c6Kpe1xjfB",2021-05-12 23:04:38,covid19
Sciblogs NZ,New Zealand,"For those who have been hearing that our COVID-19 vaccine doesn’t stop the disease passing from person to person -

COVID-19 vaccines prevent spread of the virus too
https://t.co/kQ3FFDiWyZ

by @BioinfoTools #COVID19 #vaccine #transmission https://t.co/UZMvovcgyR",2021-05-12 23:04:26,"covid19,vaccine,transmission"
Steve Colbran,"Coogee, Sydney, Australia","Thinking of having whatever vaccine is available, then updating later with one of the ‘better’ ones...

More frequent side-effects reported mixing Pfizer and Oxford Covid jabs, study suggests 

| #vaccine #immunisation #vaccination #covid19| The Guardian https://t.co/pwPEL6uk55",2021-05-12 23:03:16,"vaccine,immunisation,vaccination,covid19"
Cambridge Health Alliance (CHA),"Cambridge, MA","Starting tomorrow, 5/13, children ages 12+ can get the #COVID19 #vaccine at CHA's three sites in Somerville, Everett and Medford - walk-ins are welcome - click for details, including extended hours: https://t.co/UNROhcMrKq",2021-05-12 23:02:55,"covid19,vaccine"
AAP-CA Chapter 3,San Diego,"The @AmerAcadPeds' Committee on Infectious Diseases released a #policystatement today regarding the #COVID19 #vaccine for children and adolescents.

Swipe through for the full statement along with recommendations.

#COVID #COVID19Vaccination #CovidVaccine @US_FDA #ThisIsOurShot https://t.co/GsEOjVJue8",2021-05-12 23:02:16,"policystatement,covid19,vaccine,covid,covid19vaccination,covidvaccine,thisisourshot"
𝕿𝖍𝖔𝖒𝖆𝖘·王 🍁,"Vancouver 溫哥華, Canada 加拿大 🇨🇦","Mixing COVID-19 vaccine doses leads to more reactions, study finds | CBC News https://t.co/Qy3N8Ewd31 #COVID19 #COVID_19 #COVIDVaccine #COVID19Vaccine #COVIDVaccination #COVID19Vaccination",2021-05-12 23:01:51,"covid19,covid_19,covidvaccine,covid19vaccine,covidvaccination,covid19vaccination"
Central District Health,"Boise, ID","Ada Co. COVID-19 #s for today -   

Cases: 52,149 (55 new) 
Deaths: 466 (3 new)   

CDH Dashboard: 
https://t.co/c3B10wR53F 

Vaccine Locations: 
https://t.co/BtB1VeSiCL 

Mobile Vaccine Provider List:
https://t.co/AVmpzEh7kH

Public Health Advisory:
https://t.co/a8szuz36uY",2021-05-12 23:01:10,s
MurrumbidgeePHN,NSW,"COVID-19 vaccination hubs are open and ready to take bookings. 

Visit one of the five local vaccination hubs to receive your COVID-19 vaccination today. 

Check your eligibility here:
https://t.co/BOIH8had4t

Book in to your nearest vaccination hub here:
https://t.co/1ke21VHVhf https://t.co/OHHuY5xt0l",2021-05-12 23:00:58,
LLERO_CULTURE,"New York, NY",Seems like the CDC is walking a tightrope when it comes to the issue of mask wearing guidance. #CDC #mask #COVID19 #pandemic #coronavirus #vaccine #CenterDiseaseControl #DrRochelleWalensky  https://t.co/2W5AX3ZeRg,2021-05-12 23:00:54,"cdc,mask,covid19,pandemic,coronavirus,vaccine,centerdiseasecontrol,drrochellewalensky"
LEOSANDOVALMUA,"Tampa, FL","Getting vaccinated will protect you and loved ones against COVID-19. The vaccine gives you 90%+ immunity. So, if we all do our part, we can stop this pandemic through vaccine-induced immunity. Get informed @ https://t.co/qFmJP2HOpF or call 877-CO-VAX-CO. #PowertheComeback https://t.co/8Ly84AhjRl",2021-05-12 23:00:47,powerthecomeback
Patrick Emek,Europe,"🇸🇨💉Despite its standing as the world's most vaccinated country, the 115-island archipelago Seychelles is seeing a dramatic resurgence in COVID-19 transmission, bringing its daily case rate to the highest per capita in the world.

https://t.co/TL42sk3Cqk https://t.co/AjwTBptqwq",2021-05-12 23:00:29,
ABS-CBN News Channel,Philippines,US states are set to begin using the vaccine from Pfizer Inc and BioNTech SE to inoculate younger adolescents against #COVID19 https://t.co/f5adb70LDA,2021-05-12 23:00:01,covid19
James Pasternak,"Toronto, Ontario",The Hangar has 38 vaccine appointment slots available tomorrow. Visit https://t.co/YaAwTFw1ru to see the eligibility criteria and to book your appointment. @VaxHuntersCan,2021-05-12 22:57:42,
News On 6,"Tulsa, Oklahoma",Oklahoma To Begin Administering Pfizer COVID-19 Vaccine To Kids 12-15  https://t.co/mw0ADF3A9b,2021-05-12 22:57:24,
Rutland Herald,"Rutland, Vermont","BURLINGTON — With one of the coronavirus vaccines close to approval for those aged 12 to 15 years old, two doctors at University of Vermont Medical Center say the science shows the risks associated with getting the vaccine are far outweighed by the … https://t.co/QPdKSTZaRY",2021-05-12 22:57:01,
André Picard,,"People who receive mixture of #COVID19 vaccine doses are more likely to experience minor side effects, study finds, by @pwaldieglobe https://t.co/3Mp82rsEsS ia @globeandmail #vaccination",2021-05-12 22:56:30,"covid19,vaccination"
Alan Tomalty,,https://t.co/XTDV0LbDes Most Democrats are taking the Covid19 vaccines. Most Republicans are not. &gt; 4000 US citizens have died from the vaccine and side effects are as high as 3%. It affects mothers and their ability to have kids. In long term Democrats might be a dying species.,2021-05-12 22:56:12,
Clinton P. Desveaux,Cow Bay & Ottawa,To prevent accelerating &amp; more dominate #COVID19 variants (P1) which could lead to complete global economic meltdown - Will governments consider waiving patent laws for covid vaccine manufacturing to speed up global vaccination rate? We might be doomed as a society #cdnpoli https://t.co/9czo9iJzD5,2021-05-12 22:55:08,"covid19,cdnpoli"
The Ohio State University Wexner Medical Center 😷,"Columbus, OH","As the #COVID19 vaccine supply expands across Ohio, the big question on the minds of many is whether the vaccine is working. @DrGTheMD says yes - it is the key to getting back to normal. #InThisTogetherOhio https://t.co/8vPYD7nMQK",2021-05-12 22:55:06,"covid19,inthistogetherohio"
Linnea Meyer MD,"30 Lancaster St, Boston, MA","""Effective immediately providers in Massachusetts may begin to administer the Pfizer/BioNTech COVID-19 vaccine to individuals age 12 and older."" #DPH #MADPH #CDC #COVID19Vaccination #COVID19 #Wellscape https://t.co/OXdZtE26Ky",2021-05-12 22:54:06,"dph,madph,cdc,covid19vaccination,covid19,wellscape"
Sue Dunlevy,Canberra,Australian Government strikes COVID-19 Moderna vaccine deal what it means https://t.co/AXPKKapqcb via @dailytelegraph,2021-05-12 22:53:23,
e-KNOW,East Kootenay,"B.C.’s #COVID19 updates for May 12 reports 600 new cases and another death in the past day, along with 2,277,318 doses of vaccine now administered in B.C
https://t.co/0zvtEzEuAI",2021-05-12 22:52:30,covid19
Evan Millward,"Cincinnati, OH",Who needs #dogecoin? Just gotta win this ⁦@GovMikeDeWine⁩ #COVID19 vaccine lottery! - @wcpo  https://t.co/uIxHanOtJQ,2021-05-12 22:51:27,"dogecoin,covid19"
athen neale,"Toronto, Ontario","Which COVID-19 vaccine is good? Spoiler: they all are! Check out this great video below to see what I mean

https://t.co/R3uijKz0L7

#COVID19 #COVID19Vaccine #AstraZenaca #PfizerVaccine #JohnsonAndJohnsonVaccine #moderna",2021-05-12 22:51:21,"covid19,covid19vaccine,astrazenaca,pfizervaccine,johnsonandjohnsonvaccine,moderna"
City of Downey,"Downey, CA","If you have already had COVID-19, you should still get vaccinated. 

Find a location near you at https://t.co/URpm5hWsmX

#COVID19 #Vaccine https://t.co/Pljg4D63AH",2021-05-12 22:49:43,"covid19,vaccine"
discoverdowney,"Downey, CA","If you have already had COVID-19, you should still get vaccinated. 

Find a location near you at https://t.co/qJTlRQIEGQ

#COVID19 #Vaccine https://t.co/HsPgUeamsT",2021-05-12 22:49:18,"covid19,vaccine"
The Homestretch CBC,"ÜT: 51.054086,-114.083504","BREAKING: Mixing COVID-19 vaccine doses leads to more reactions, U.K. study finds | CBC News https://t.co/7NhotrYwFG @CBCHomestretch @CMOH_Alberta @jkenney @JustinTrudeau #ableg #abpol @cbcDougDirks #COVID19 #AstraZeneca",2021-05-12 22:47:52,"ableg,abpol,covid19,astrazeneca"
Catherine Kitts,Ottawa,"Reminder! Starting tomorrow (Thursday, May 13) at 8 AM, adults 40+ will be eligible to book a #COVID19 vaccine appointment via the provincial online booking system (https://t.co/Cmk48yCbtu) or through the call centre at 1-833-943-3900.",2021-05-12 22:47:23,covid19
Coercion Is Not Consent,Covid1984,"@Cdegroff10 @YoureAllDunces @scythesociety @LawmartMartin Brother, you are clueless. The CDC admits ""some"" (meaning many) vaccinated will contract and transmit illness. https://t.co/7N21U2wzRf

The FDA admits that there is NO vaccine approved to prevent Covid19. https://t.co/ORnXRL7vE3",2021-05-12 22:45:36,
Jill Michelle,,My 14 yr old gets his first Covid Vaccine Sunday! 👏 #COVID19 #COVID19Vaccination #vaccinated,2021-05-12 22:44:31,"covid19,covid19vaccination,vaccinated"
"Bill Pascrell, Jr.","Paterson, NJ","Do you have loved ones who don’t use the internet? They can sign up for a COVID-19 vaccine appointment over the phone!

https://t.co/tOJWefrhvf",2021-05-12 22:42:01,
Stock Titan,,"$RAD COVID-19 Vaccine Age Eligibility Expands at All Rite Aid Locations
https://t.co/z4rQUVP0aP

#vaccine #covid19",2021-05-12 22:41:40,"vaccine,covid19"
Qatar Day- Pulse of Nation,"Doha, Qatar","After Eid, People aged over 30 eligible for COVID-19 vaccine in Qatar 

#Qatar #COVID19 #Vaccine #QatarNews #QatarDay 
https://t.co/edlc6kblnD",2021-05-12 22:38:18,"qatar,covid19,vaccine,qatarnews,qatarday"
DTT-NET English,Prishtina and Brussels,"More than 600,000 doses of anti-#COVID19 vaccine administrated in #Albania 

https://t.co/ybV7XlCFT4 https://t.co/XfBVoMqv2Q",2021-05-12 22:36:32,"covid19,albania"
Fiore DiNotte,,"From the 4/30/2021 release of #VAERS data:
Found 79 cases where Age is 2-or-more-and-under-20 and Vaccine targets COVID-19 (COVID19) and Hospitalized

#Pediatrics #Teenage #CovidVaccine #Covidvaccinesideeffects #vaccineinjuries

https://t.co/63yBariKNY",2021-05-12 22:36:12,"vaers,pediatrics,teenage,covidvaccine,covidvaccinesideeffects,vaccineinjuries"
Colorado Gerontological Society,Denver Colorado,"After you get your COVID-19 vaccine, keep your vaccination card safe. Scammers are using the COVID-19 pandemic to steal your personal information. If you suspect COVID-19 health care fraud, report it online at https://t.co/ptK9xBRMrl or call 1-800-447-8477. #fraud #COVID19 https://t.co/hVR7d9TeZL",2021-05-12 22:36:06,"fraud,covid19"
Tulsa Health Dept,"Tulsa, OK",.@CDCgov now recommends Pfizer-BioNTech #COVID19 vaccine for use in 12- through 15-year-old adolescents. THD will begin administering the Pfizer vaccine to anyone 12+. https://t.co/FJsAtpie1a,2021-05-12 22:35:07,covid19
SCDHEC,"Columbia, S.C.","For more vaccine updates, continue to visit https://t.co/1yAO5zOVvr.",2021-05-12 22:33:08,
Rob Schofield,"Raleigh, NC USA",#CDC advisory panel (incl. Wake Forest prof.) signs off on Pfizer COVID-19 vaccine for kids 12 to 15 https://t.co/WHss92W5nC #ncga #ncpol #ncgov #ncleg #vaccines #COVID19 #CovidVaccine,2021-05-12 22:32:35,"cdc,ncga,ncpol,ncgov,ncleg,vaccines,covid19,covidvaccine"
WomensPowerCen,,We have vaccine but our world isn't safe. We are only lucky that #covid19 #virus does not transmit from physical #gadgets only by air but #variety of virus kills us all. Normally available in #Amazon https://t.co/rzyWrMlQr3 #ebook we R giving for #FREE https://t.co/mUOK62YavV,2021-05-12 22:31:08,"covid19,virus,gadgets,variety,amazon,ebook,free"
Epstein Becker Green,Throughout the United States,"Chicago employers should review their company policies to ensure that they do not run afoul of these newly enacted worker protections. - Attorneys Peter Steinmeyer, Angel Perez. 

#COVID19 #vaccination #humanresources #HR #emplaw #employmentlaw #Chicago 

https://t.co/aCZiGZIps1",2021-05-12 22:30:29,"covid19,vaccination,humanresources,hr,emplaw,employmentlaw,chicago"
Ben Shadow,"MHSPtowers, england","Tomorrow is the day, I have my final covid vaccine and I’m shit scared about it as well! I have a phobia of Needles and believe me I’m not looking forward to it what’s so ever... @YouTube @YouTubeCreators @RoxylouRoxy @Maestromidget #COVID19 #COVID19Vaccination #NeedlePhobia https://t.co/4QcPkBOkPz",2021-05-12 22:30:13,"covid19,covid19vaccination,needlephobia"
9News Australia,Australia,"COVID-19 vaccine maker Moderna has announced a deal to supply 25 million doses to Australia.

10 million jabs would be delivered this year if approved by the TGA: https://t.co/dfY8Yf2VdQ #9News https://t.co/DGxTDsavBJ",2021-05-12 22:30:12,9news
AARP Research,"Washington, DC","Now that you've been #vaccinated, you may feel ready to start socializing. But what if not everyone you know is vaccinated? We asked #etiquette experts and public #health experts for tips on handling these tricky social situations: https://t.co/xp44RWHuKa #COVID19 https://t.co/HZ6St5gWSI",2021-05-12 22:29:56,"vaccinated,etiquette,health,covid19"
Contagion,"Cranbury, NJ","#Breaking #CDC adopts  the panel's recommendation to allow for the #PfizerBiontech #Covid19 #vaccine to be administered in children as young as 12 years old. #Vaccines can start right away.

https://t.co/JpYWjpizCz",2021-05-12 22:29:49,"breaking,cdc,pfizerbiontech,covid19,vaccine,vaccines"
News 9,Oklahoma City,OSDH Officials Prepare To Offer COVID-19 Vaccine To Children Ages 12 To 15 With Parental Consent https://t.co/qu1ws4svNO,2021-05-12 22:28:30,
Jagdish Khubchandani😷,New Mexico State University,"In this @Healthline story, I comment on the latest @IHME_UW estimates of mortality from #COVID19 https://t.co/ki7AWGrkL3  #coronavirus #pandemic #COVID19Vaccination #vaccine #Corona #health #COVIDー19 #Epidemiology #MedTwitter #epitwitter",2021-05-12 22:27:49,"covid19,coronavirus,pandemic,covid19vaccination,vaccine,corona,health,covidー19,epidemiology,medtwitter,epitwitter"
UNSW Medicine & Health,"Sydney, New South Wales","Vaccine modeller @JamesGWood_UNSW says vaccination on arrival could be beneficial, but only when a person was yet to be exposed to the virus #COVID19 #vaccine #COVIDVaccination @UNSW 

https://t.co/zLEcQoY3zp",2021-05-12 22:26:29,"covid19,vaccine,covidvaccination"
Roy Mckinley,Groupthink Controls the USA,Employers can't require Covid-19 vaccination under an EUA - STAT #Covid19 #vaccine #MandatoryVaccine #EUA #Biden #Trump https://t.co/d0c2OXaZPP,2021-05-12 22:24:54,"covid19,vaccine,mandatoryvaccine,eua,biden,trump"
WomensPowerCen,,#COVID19Vaccination #COVID19 We arn’t fully safe with #coronavirus #vaccine as #virus changes itself. World needs ways get rid of #lockdown Normally #sold in #Amazon https://t.co/rzyWrMlQr3 we R giving it #FREE https://t.co/mUOK62YavV #COVID19India,2021-05-12 22:22:45,"covid19vaccination,covid19,coronavirus,vaccine,virus,lockdown,sold,amazon,free,covid19india"
Office of the Public Advocate Jumaane D. Williams,"New York, NY","#COVID19 UPDATE: The CDC has authorized the Pfizer vaccine for use in adolescents aged 12-15. New York City will begin vaccinating this age group tomorrow, Thursday, May 13.
 
Sign up: ⤵️
💻 Visit https://t.co/g29hKHYt5h
📞 Call 877-VAX-4NYC
https://t.co/CYYDhKJWGy",2021-05-12 22:22:05,covid19
Ooi Chi Yan | 黃 智 仁 🔬 PhD,"Sydney, Australia","Good news for #Australia where people my age are not recommended to take the @AstraZeneca #COVID19 #vaccine and have no access to any COVID-19 vaccine at all, unlike some places in the world. Still needs provisional determination from @TGAgovau if they seek provisional approval https://t.co/DgsdFuSx5T",2021-05-12 22:21:25,"australia,covid19,vaccine"
ROBERTO D NAVARRO,"San Antonio, TX","RT CRSnews ""Great article why #COVID19 testing remains a crucial method to trace the spread of the virus and stop it from spreading, even with vaccine distribution increasing across the globe. https://t.co/66XPKKYLRb via @GlblCtzn""",2021-05-12 22:21:04,covid19
Maritsa Georgiou,"Missoula, Montana","Hey, Montana (and other states)!-- CVS just updated its eligibility to include 12+! Just make sure you're signing up for the Pfizer vaccine for anyone under 18. LINK: https://t.co/Gv2EISUrhd
#mtnews #mtvax #COVID19 https://t.co/6DflsDipsV",2021-05-12 22:20:25,"mtnews,mtvax,covid19"
Star-Advertiser,"Honolulu, Hawaii",CVS offers #COVID19 vaccine to ages 12 to 15 in #Hawaii https://t.co/bkXXqnn3Wk https://t.co/17czlX69X4,2021-05-12 22:20:05,"covid19,hawaii"
Hindustan Times,India,"#COVID19 | China delivered 500,000 doses of #Sinopharm vaccine as a gift to Bangladesh to help it cope with a shortage

https://t.co/SMwo0ExLGT",2021-05-12 22:20:00,"covid19,sinopharm"
PEAK LIFECYCLES HR,EUROPE & US +36 countries ,"Pharma CEOs React to Waiving COVID-19 Vaccine Patent Protection, Sinking Stock https://t.co/pNS6lh11dj",2021-05-12 22:18:28,
Stock Titan,,"$RAD COVID-19 Vaccine Age Eligibilty Expands at All Rite Aid Locations
https://t.co/q83FcscwOS

#vaccine #covid19",2021-05-12 22:16:04,"vaccine,covid19"
@jimineycricket,"South East, England",Why are people going blind after having the Covid Vaccine? – Daily Expose #vaccine #vaccineinjury #informedconsent #daretothink #covid19  https://t.co/dAlcUeMNDK,2021-05-12 22:15:51,"vaccine,vaccineinjury,informedconsent,daretothink,covid19"
CO - Emergency Mgmt,"Colorado, USA","COVID-19 vaccine update
🔸2,747,201 People Immunized with One Dose
🔸2,226,269 People Fully Immunized
🔸4,828,005 Cumulative Doses Administered
Find more information about vaccination data: https://t.co/ESjOxU0CeL 

#COVID19Colorado https://t.co/zCaLkRaUkw",2021-05-12 22:15:06,covid19colorado
djayme7,,#Moderna #ChiefMedicalOfficer Confirms #mRNA #vaccine For #COVID19 Can alter Your #GeneticCode #dna https://t.co/TQCxlnDQzg,2021-05-12 22:13:46,"moderna,chiefmedicalofficer,mrna,vaccine,covid19,geneticcode,dna"
Prairie Mountain Health,"Manitoba, Canada",Is it your turn yet? The COVID vaccine eligibility criteria continues to change.  Check often for the most current information at: https://t.co/8fUQycOSJP https://t.co/5JCR6HM5sQ,2021-05-12 22:10:05,
marc schcher,"ÜT: 41.919172,-87.668115","Phil Nevin, Reggie Willits, third Yankees staffer test positive for COVID-19 despite being vaccinated  #covid #covid19 #yankees #vaccine https://t.co/36ZKKsTMEl",2021-05-12 22:06:19,"covid,covid19,yankees,vaccine"
